Te,ssd
2021-02-21,7.736551265527731
2021-02-22,8.188832978843246
2021-02-23,8.747059460736576
2021-02-24,9.391023246577483
2021-02-25,10.093266032733869
2021-02-26,10.477481752887739
2021-02-27,11.000078259225534
2021-02-28,11.637520214982397
2021-03-01,12.316830460483052
2021-03-02,12.848660210240656
2021-03-03,13.328699432534476
2021-03-04,13.78811832924098
2021-03-05,14.33387397600402
2021-03-06,14.764713759554907
2021-03-07,14.987099647369957
2021-03-08,15.07120934554281
2021-03-09,15.05878593065761
2021-03-10,14.938746712140183
2021-03-11,14.645737020247548
2021-03-12,14.183418830608863
2021-03-13,13.607604797521285
2021-03-14,12.971498985181968
2021-03-15,12.168657646844105
2021-03-16,11.330834167713183
2021-03-17,10.488933152990288
