Te,nnCe
2020-11-08,1736.03235700298
2020-11-09,1744.08073518969
2020-11-10,1752.78326215367
2020-11-11,1761.30464022549
2020-11-12,1769.97697570744
2020-11-13,1778.35142190005
2020-11-14,1787.03650489664
2020-11-15,1795.82558077576
2020-11-16,1805.08430193087
2020-11-17,1814.3671762716
2020-11-18,1823.91036827959
2020-11-19,1833.33749081223
2020-11-20,1843.09336503806
2020-11-21,1852.55940103642
2020-11-22,1863.15392754079
2020-11-23,1874.25298725593
2020-11-24,1885.40437887326
2020-11-25,1897.12001574358
2020-11-26,1909.40727800696
2020-11-27,1921.6992367231
2020-11-28,1935.1975128767
2020-11-29,1949.02722441078
2020-11-30,1963.72712154907
2020-12-01,1979.39314611224
2020-12-02,1996.37283560452
2020-12-03,2013.86242568216
2020-12-04,2031.20642572424
2020-12-05,2048.0767549594
2020-12-06,2064.66529702897
2020-12-07,2081.15252990329
2020-12-08,2098.90243764818
2020-12-09,2116.50809720117
2020-12-10,2134.42707724542
2020-12-11,2152.41918776835
2020-12-12,2171.49014058241
2020-12-13,2190.82409475101
2020-12-14,2210.95510404515
2020-12-15,2230.678192871
2020-12-16,2250.56565754344
2020-12-17,2270.45781866864
2020-12-18,2290.91825057779
2020-12-19,2311.36459312865
2020-12-20,2333.18431265086
2020-12-21,2355.20329595444
2020-12-22,2376.19241425998
2020-12-23,2395.07483804182
2020-12-24,2412.43561112947
2020-12-25,2429.31533327015
2020-12-26,2446.72776733816
2020-12-27,2464.05432341285
2020-12-28,2481.98202544079
2020-12-29,2499.87282676848
2020-12-30,2517.96825925214
2020-12-31,2536.16634277468
2021-01-01,2554.58046312418
2021-01-02,2572.72151829179
2021-01-03,2591.75087395283
2021-01-04,2611.03853451566
2021-01-05,2632.9005221127
2021-01-06,2658.77529313212
2021-01-07,2686.7118069131
2021-01-08,2715.49636587815
2021-01-09,2746.45336970553
2021-01-10,2777.8156103139
2021-01-11,2810.14666203444
2021-01-12,2843.35527949925
2021-01-13,2876.1828133687
2021-01-14,2910.59976103643
2021-01-15,2944.87313143408
2021-01-16,2977.83082413715
2021-01-17,3010.1913964179
2021-01-18,3042.64388498838
2021-01-19,3075.41371958106
2021-01-20,3108.88265471313
2021-01-21,3140.5796853111
2021-01-22,3172.42096410097
2021-01-23,3204.15623724284
2021-01-24,3236.5376081001
2021-01-25,3268.57479606224
2021-01-26,3298.20136191494
2021-01-27,3327.24288393813
2021-01-28,3356.51721583385
2021-01-29,3385.1756414962
2021-01-30,3413.16314533572
2021-01-31,3439.5102453184
2021-02-01,3467.02072374189
2021-02-02,3494.15615686641
2021-02-03,3519.04266004079
2021-02-04,3545.62793727058
2021-02-05,3572.4312640928
2021-02-06,3598.74146337523
2021-02-07,3625.39987108371
2021-02-08,3649.67784816478
2021-02-09,3674.03163941183
2021-02-10,3698.85708870033
2021-02-11,3721.08875422176
2021-02-12,3742.87895318376
2021-02-13,3764.04989130329
2021-02-14,3784.34393460037
2021-02-15,3803.99590571299
2021-02-16,3823.26880599572
2021-02-17,3845.39446586914
2021-02-18,3867.58050870661
2021-02-19,3890.17983938695
2021-02-20,3914.34711436725
2021-02-21,3938.87467436642
2021-02-22,3965.74777705821
2021-02-23,3993.78761279991
2021-02-24,4019.17730734141
2021-02-25,4044.93399612001
2021-02-26,4072.25930012039
2021-02-27,4098.63793342875
2021-02-28,4125.59959780115
2021-03-01,4151.78768931183
2021-03-02,4178.38235944714
2021-03-03,4206.10552008847
2021-03-04,4235.53751861255
2021-03-05,4263.35863384
2021-03-06,4291.08246540314
2021-03-07,4321.38532045326
2021-03-08,4351.59089183907
2021-03-09,4383.52609968414
2021-03-10,4415.51833588416
2021-03-11,4448.26334636939
2021-03-12,4481.82419779119
2021-03-13,4516.90334529806
2021-03-14,4552.40919908426
2021-03-15,4590.34848632187
2021-03-16,4629.00096345716
2021-03-17,4669.30994657302
2021-03-18,4687.18900676881
2021-03-19,4709.19987191834
2021-03-20,4735.06229797621
